temperature_K,carrier_type,carrier_density_cm-3,signed_density_cm-3,chemical_potential_Ry,seebeck_uV_K,sigma_over_tau_ohm-1_m-1_s-1,kappa_e_over_tau_W_m-1_K-1_s-1,power_factor_over_tau_W_m-1_K-2_s-1,electronic_zT_no_lattice,hall_m3_C,smoothed_DOS_Ha-1_uc-1,cv_J_mol-1_K-1,chi_m3_mol-1
300,n,4.99951583181463e+20,-4.99951583181463e+20,0.601319,-27.4771,1.76199e+19,135717000000000.0,13302866351.00176,0.029405748029359094,-1.44742e-08,36.4518,1.00348,9.95768e-13
300,p,1.0000001459217128e+20,1.0000001459217128e+20,0.52534,157.165,2.25187e+18,12593200000000.0,55623074321.86074,1.3250740317439746,8.09821e-08,17.2817,0.393619,4.72092e-13
400,n,1.00036061711192e+19,-1.00036061711192e+19,0.562097,-104.145,1.63826e+18,13825800000000.0,17768864526.0165,0.5140784482928004,-6.4289e-07,0.97883,0.0262969,2.67391e-14
400,p,4.997832413058333e+20,4.997832413058333e+20,0.518967,103.651,8.28336e+18,71428100000000.0,88992525012.41136,0.49836142925493676,1.27905e-08,47.1863,1.52029,1.28901e-12
500,n,1.000122742722443e+19,-1.000122742722443e+19,0.561428,-126.77000000000001,1.57118e+18,16377900000000.0,25249856999.822002,0.7708514827853999,-6.52296e-07,0.934512,0.0361585,2.55284e-14
500,p,5.001638403289962e+20,5.001638403289962e+20,0.519727,124.478,7.87427e+18,79294900000000.0,122010022127.58669,0.7693434390331956,1.39646e-08,45.9768,2.10581,1.25597e-12
600,n,1.9993159455229305e+19,-1.9993159455229305e+19,0.565357,-112.011,2.66323e+18,34060500000000.0,33414119640.97083,0.5886135489667649,-3.30825e-07,1.4299,0.0744154,3.90612e-14
600,p,4.999973282563624e+20,4.999973282563624e+20,0.520668,143.529,7.39158e+18,83205900000000.0,152270789591.65875,1.098028790686661,1.50435e-08,44.2914,2.74911,1.20993e-12
700,n,1.9993708396128096e+19,-1.9993708396128096e+19,0.564558,-128.165,2.56479e+18,37579900000000.0,42129925916.007744,0.7847532362035402,-3.36261e-07,1.40168,0.114648,3.82902e-14
700,p,4.997539644578976e+20,4.997539644578976e+20,0.521775,160.988,6.87877e+18,84255400000000.0,178278018593.2629,1.4811467634749111,1.61128e-08,42.2742,3.41428,1.15482e-12
800,n,2.000194250960999e+19,-2.000194250960999e+19,0.56362,-142.809,2.4578e+18,41905300000000.0,50125382080.201805,0.9569268246298546,-3.42448e-07,1.39841,0.190242,3.8201e-14
800,p,5.001839681619519e+20,5.001839681619519e+20,0.523023,176.721,6.37628e+18,83932100000000.0,199133212785.53143,1.8980410382729034,1.71654e-08,40.1121,4.07829,1.09576e-12
900,n,4.999223063335274e+19,-4.999223063335274e+19,0.570577,-112.081,4.61243e+18,85105200000000.0,57942040112.07323,0.6127455913488942,-1.50141e-07,2.80487,0.539337,7.66218e-14
900,p,9.99754952320252e+20,9.99754952320252e+20,0.519103,143.998,1.03396e+19,142285000000000.0,214395990031.7584,1.356126021917859,9.50057e-09,67.0304,6.28412,1.83109e-12
